custom_id,variant,chunk_number,recognized_text
stage1_1_1_v1,1,5,"Химки; там был белый домик с переходом и приличный садик (недалеко от станции). Я прожила там несколько дней (помню вкусный арбуз), но когда приехала в Москву, заболела ветрянкой с высокой температурой — это единственная моя серьёзная болезнь в детстве, когда еще не было обязательных прививок и многие болели заразными болезнями. Мама обвиняла бабушку в том, что я заразилась от грязного арбуза, и больше меня к ней не отпускали. Тогда арбуз не мыли, т.к. вырезали кусок при продаже, показывая, что он спелый. Все летние месяцы, которые я помню, мы проводили на даче. Мама полюбила Быково за то, что там песчаная почва и после дождей не бывает грязи. Несколько лет мы снимали комнату и террасу у одних и тех же хозяев. С другой стороны дома жила семья родственников хозяев, у которых была дочь моего возраста. Мы с ней и играли. Иногда между едой мы выкраивали чёрный хлеб с маслом и сахарным песком — было вкусно.

Родители последние годы перед войной снимали всегда одну и ту же дачу. Там все гулянья ограничивались обычно садом-огородом, т.к. лес и река были очень далеко, и редкие походы туда были для меня мучительными. Быково был маленький аэродром, и самолёты иногда летали над нами. Ещё помню, как мы (дети) стояли и ждали, когда хозяйка подоит козу — нам наливали парное тёплое молоко, что казалось полезным."
stage1_1_1_v2,2,5,"Химки; там был белый домик с переходом и приличный садик (недалеко от станции). Я прожила там несколько дней (помню вкусный арбуз), но когда приехала в Москву, заболела ветрянкой с высокой температурой — это единственная моя серьёзная болезнь в детстве, когда еще не было обязательных прививок и многие болели заразными болезнями. Мама обвиняла бабушку в том, что я заразилась от грязного арбуза, и больше меня к ней не отпускали. Тогда арбуз не мыли, т.к. вырезали кусок при продаже, показывая, что он спелый. Все летние месяцы, которые я помню, мы проводили на даче. Мама полюбила Быково за то, что там песчаная почва и после дождей не бывает грязи. Несколько лет мы снимали комнату и террасу у одних и тех же хозяев. С другой стороны дома жила семья родственников хозяев, у которых была дочь моего возраста. Мы с ней и играли. Иногда между едой мы выкраивали чёрный хлеб с маслом и сахарным песком — было вкусно.

Родители последние годы перед войной снимали всегда одну и ту же дачу. Там все гулянья ограничивались обычно садом-огородом, т.к. лес и река были очень далеко, и редкие походы туда были для меня мучительными. В Быково был маленький аэродром, и самолёты иногда летали над нами. Ещё помню, как мы (дети) стояли и ждали, когда хозяйка подоит козу — нам наливали парное тёплое молоко, оно казалось полезным."
stage1_1_2_v1,1,5,"Родители последние годы перед войной снимали всегда одну и ту же дачу. Там все гулянья ограничивались обычно садом-огородом, т.к. лес и река были очень далеко, и редкие походы туда были для меня мучительными. В Быково был маленький аэродром, и самолёты иногда летали над нами. Ещё помню, как мы (дети) стояли и ждали, когда хозяйка подоит козу — нам наливали парное тёплое молоко, оно считалось полезным.

Однажды, во время нашей жизни на даче, ограбили нашу квартиру в Москве. Жулики видели, что там никого нет. Они устроили пирушку с нашей водкой, танцевали под патефон, разбросали пластинки. Женщины обрадовались маминой косметике. Украли папино новое пальто, патефон и ещё что-то. Милиция тогда нашла их, нашла папино пальто, а вот патефон и всё остальное было продано.

Когда пришел срок идти мне в школу, мама очень хотела, чтобы я училась с теми детьми, с которыми дружила. Но они были на полгода старше меня, а я была (по мнению родителей) ""увальнем"", ""капушей"". Решили, что первый класс я буду учиться дома с той учительницей, которая вела первый класс ""А"" в школе №29 (на Зубовской площади). И в школу я пошла сразу"
stage1_1_2_v2,2,5,"Родители последние годы перед войной снимали всегда одну и ту же дачу. Там все гулянья ограничивались обычно садом-огородом, т.к. лес и река были очень далеко, и редкие походы туда были для меня мучительными. В Быково был маленький аэродром, и самолёты иногда летали над нами. Ещё помню, как мы (дети) стояли и ждали, когда хозяйка подоит козу — нам наливали парное тёплое молоко, оно считалось полезным.

Однажды, во время нашей жизни на даче, ограбили нашу квартиру в Москве. Жулики видели, что там никого нет. Они устроили пирушку с нашей водкой, танцевали под патефон, разбросали пластинки. Женщины обрадовались маминой косметике. Украли папино новое пальто, патефон и ещё что-то. Милиция тогда нашла их, нашла папино пальто, а вот патефон и всё остальное было продано.

Когда пришел срок идти мне в школу, мама очень хотела, чтобы я училась с теми детьми, с которыми дружила. Но они были на полгода старше меня, а я была (по мнению родителей) ""увальнем"", ""капушей"". Решили, что первый класс я буду учиться дома с той учительницей, которая вела первый класс ""А"" в школе №29 (на Зубовской площади). И в школу я пошла сразу"
stage1_2_1_v1,1,6,"во второй класс вместе со знакомыми детьми. (У меня сохранилось школьное удостоверение, которое тогда нам зачем-то выдавали.)

В 1941 году мы как всегда уехали на дачу. Мама, как всегда, сделала запас некоторых продуктов (консервов, колбасы, сахара и чего-то ещё, чего не было в Быково).

Но вот однажды всех стали звать к радио-рупору, и мы услышали голос Молотова, который объявил, что началась война. И у нас началась другая жизнь. Велели всем копать бомбоубежище — и его вырыли, чем-то покрыли. Поскольку недалеко был аэродром, который иногда бомбили, всех загоняли туда (для детей в глубине сделали наспи). Однажды молодые хозяйские девушки сидели там у входа и их швырнуло ударной волной внутрь.

У папы на работе всех мужчин (не спрашивая) записали в добровольцы на фронт (никто из них не вернулся), но папа по паспорту был немец и его вызвали куда-то и предложили выбрать (скоро это такое перестали делать) из нескольких городов место ссылки. Нигде там не было текстильной промышленности и папа ткнул наугад: Ижевск. Ну и поехал сам туда. Но там он не нашел работы. Какой-то директор фабрики зародда (это тоже Удмуртия) предложил ему"
stage1_2_1_v2,2,6,"во второй класс вместе со знакомыми детьми. (У меня сохранилось школьное удостоверение, которое тогда нам зачем-то выдавали.)

В 1941 году мы как всегда уехали на дачу. Мама, как всегда, сделала запас некоторых продуктов (консервов, колбасы, сахара и чего-то ещё, чего не было в Быково).

Но вот однажды всех стали звать к радио-рупору, и мы услышали голос Молотова, который объявил, что началась война. И у нас началась другая жизнь. Велели всем копать бомбоубежище — и его вырыли, чем-то покрыли. Поскольку недалеко был аэродром, который иногда бомбили, всех загоняли туда (для детей в глубине сделали наспи). Однажды молодые хозяйские девушки сидели там у входа и их швырнуло ударной волной внутрь.

У папы на работе всех мужчин (не спрашивая) записали в добровольцы на фронт (никто из них не вернулся), но папа по паспорту был немец и его вызвали куда-то и предложили выбрать (скоро это такое перестали делать) из нескольких городов место ссылки. Нигде там не было текстильной промышленности и папа ткнул наугад: Ижевск. Ну и поехал сам туда. Но там он не нашел работы. Какой-то директор разбирал заводы (это тоже Удмуртия) предложил ему"
stage1_2_2_v1,1,6,"У папы на работе всех мужчин (не спрашивая) записали в добровольцы на фронт (никто из них не вернулся), но папа по паспорту был немец и его вызвали куда-то и предложили выбрать (скоро это такое перестали делать) из нескольких городов место ссылки. Нигде там не было текстильной промышленности и папа ткнул наугад: Ижевск. Ну и поехал сам туда. Но там он не нашел работы. Какой-то директор рабфака из города Можга (это тоже Удмуртия) предложил ему преподавать у них математику, химию и физику. Так он перебрался в Можгу и стал звать нас туда. Тогда уже в Москве эвакуировались. И вот, поехали в Москву бабушку и брата, закопав в землю кузнецовский сервис и забрав запасенные продукты, мы поехали на восток. Зима 41-го была ужасно холодной, а родители сняли одну комнату в какой-то избе, где топили дровами, но экономя, рано закрывали заслонку. Я сильно угорела, меня закутывали и выносили на мороз. Мне было плохо. Там я впервые увидела русскую баню. Меня поразило, что женщины оттуда выбегали голыми прямо в мороз. В этот год я там ходила в третий класс."
stage1_2_2_v2,2,6,"У папы на работе всех мужчин (не спрашивая) записали в добровольцы на фронт (никто из них не вернулся), но папа по паспорту был немец и его вызвали куда-то и предложили выбрать (скоро это такое перестали делать) из нескольких городов место ссылки. Нигде там не было текстильной промышленности и папа ткнул наугад: Ижевск. Ну и поехал сам туда. Но там он не нашел работы. Какой-то директор рабочего городка из Можги (это тоже Удмуртия) предложил ему преподавать у них математику, химию и физику. Так он перебрался в Можгу и стал звать нас туда. Тогда уже в Москве эвакуировались. И вот, поехали в Можгу бабушку и брата, закопав в землю Кузнецовский сервис и забрав запасенные продукты, мы поехали на восток. Зима 41-го была ужасно холодной, а родители сняли одну комнату в какой-то избе, где топили дровами, но экономя, рано закрывали заслонку. Я сильно угорела, меня закутывали и выносили на мороз. Мне было плохо. Там я впервые увидела русскую баню. Меня поразило, что женщины оттуда выбегали голыми прямо в мороз. В этот год я там ходила в третий класс."
stage1_3_1_v1,1,13,"13) большим начальником. Считали, что так безопаснее. На ночь они возвращались домой (тихо, т.к. боялись ареста). А я целыми днями была одна, готовилась к экзаменам, которые тогда были в конце года во всех старших классах. Но я, практически, не могла ничего учить из-за этой атмосферы страха. Папа уехал в срок и не пропустил очередной явки.

В Москве еще несколько лет после войны продукты продавались только по карточкам, которые надо было прикреплять в одном магазине. Однажды в начале месяца мама послала меня прикрепить наши карточки на хлеб и купить положенные нам. Хлеб был такой свежий и вкусный! (Я попробовала). Но когда я зашла в подъезд, за мной бежали два подростка и вырвали у меня из рук сумочку с карточками и хлебом и быстро выскочили. Я кинулась на второй этаж в нашу квартиру звать маму. Но она их, конечно, не увидела. Так мы один месяц остались без хлеба. Мама потом купила с рук одну карточку. Денег у мамы не хватало и она иногда сдавала одну комнату. Сначала там жила художница Мухина, выехавшая из заключения, а потом танцовщица из ансамбля Моисеева, которая тайно привела к нам пьяного поэта — Симонова (он не выходил из комнаты). Ну а потом был..."
stage1_3_1_v2,2,13,"13) большим начальником. Считали, что так безопаснее. На ночь они возвращались домой (тихо, т.к. боялись ареста). А я целыми днями была одна, готовилась к экзаменам, которые тогда были в конце года во всех старших классах. Но я, практически, не могла ничего учить из-за этой атмосферы страха. Папа уехал в срок и не пропустил очередной явки.

В Москве еще несколько лет после войны продукты продавались только по карточкам, которые надо было прикреплять в одном магазине. Однажды в начале месяца мама послала меня прикрепить наши карточки на хлеб и купить положенные нам. Хлеб был такой свежий и вкусный! (Я попробовала). Но когда я зашла в подъезд, за мной бежали два подростка и вырвали у меня из рук сумочку с карточками и хлебом и быстро выскочили. Я кинулась на второй этаж в нашу квартиру звать маму. Но она их, конечно, не увидела. Так мы один месяц остались без хлеба. Мама потом купила с рук одну карточку. Денег у мамы не хватало и она иногда сдавала одну комнату. Сначала там жила художница Мужчина, выехавшая из заключения, а потом танцовщица из ансамбля Моисеева, которая тайно привела к нам пьяного поэта — Симонова (он не выходил из комнаты). Ну а потом был..."
